id;href;external_id;priority;description;category;status;order_date;completion_date;requested_start_date;requested_completion_date;expected_completion_date;notification_contact;customer_id;shopping_cart_id;type;location_id;created_by;created_date;updated_by;updated_date
1;Parks;Awesome Plastic;methodical Malawi;indexing Rubber;override Tunnel invoice;Tuna;2021-07-12T23:23:16;2021-07-12T20:36:04;2021-07-12T14:50:52;2021-07-12T19:42:29;2021-07-12T19:16:17;Tuna Intelligent Cross-platform;88228;84807;Cambridgeshire;72801;Computer;2021-07-13T06:49:53;Home;2021-07-12T14:00:00
2;sexy teal Australia;Granite;Metal;Licensed Avon;reinvent;Functionality AI;2021-07-12T18:38:39;2021-07-13T07:29:01;2021-07-12T16:38:14;2021-07-13T09:58:15;2021-07-13T01:10:38;Fall;98581;90856;Human;25348;Rubber interfaces;2021-07-13T09:45:45;Borders Berkshire;2021-07-13T10:45:19
3;Shirt firmware;Assimilated black;syndicate index;Arizona deposit;copying;gold Liaison;2021-07-12T16:15:26;2021-07-13T02:12:06;2021-07-12T20:59:45;2021-07-13T10:18:20;2021-07-13T01:36:28;parse Proactive Frozen;19076;10910;Books Open-source Account;45355;Direct;2021-07-12T19:03:37;Account invoice compressing;2021-07-13T09:10:20
4;revolutionize;protocol Shirt B2C;Chips;Fully-configurable next-generation;Bike payment payment;sky;2021-07-12T19:55:18;2021-07-12T17:40:58;2021-07-13T01:28:14;2021-07-13T04:29:06;2021-07-12T23:25:17;Table invoice;61409;37113;Automotive Wooden syndicate;7853;Generic;2021-07-13T06:30:37;Finland Creative De-engineered;2021-07-13T08:46:13
5;analyzer Junction Cambridgeshire;customized;Guatemala;Electronics Unbranded;Rwanda;Nevada;2021-07-12T21:46:39;2021-07-13T09:17:06;2021-07-12T19:44:10;2021-07-12T17:36:50;2021-07-13T07:47:59;Bike firewall invoice;47344;97792;monitor system Soft;89493;content SDD;2021-07-13T04:07:08;Iran Music;2021-07-13T01:25:44
6;action-items Svalbard architectures;Bacon portals Mouse;killer;New;Awesome Tools;generation;2021-07-13T10:52:52;2021-07-13T03:36:57;2021-07-13T09:47:31;2021-07-12T11:26:42;2021-07-12T13:03:08;open-source;87668;33466;Bike Man California;50729;fuchsia bluetooth Cayman;2021-07-13T02:42:50;flexibility Chair Representative;2021-07-12T15:40:58
7;Hong;hacking;Legacy;Creative web-enabled;Human connecting Turkey;transform Internal Specialist;2021-07-12T14:13:44;2021-07-12T11:14:26;2021-07-13T10:14:32;2021-07-12T18:58:01;2021-07-12T15:40:41;bottom-line transmitting USB;24311;666;Proactive Pakistan Functionality;20884;Avon feed;2021-07-13T07:42:05;withdrawal;2021-07-13T06:36:27
8;Utah concept Dynamic;Borders Account Rustic;primary synergize;Generic Fantastic;invoice grid-enabled;transmitting capacitor;2021-07-12T13:18:16;2021-07-12T13:13:35;2021-07-12T11:17:12;2021-07-12T20:31:44;2021-07-12T23:23:55;Cambridgeshire connect Account;44590;8977;Practical;1312;Uganda Tools uniform;2021-07-12T15:39:47;Computers well-modulated;2021-07-13T02:55:04
9;Automotive Marketing ROI;Unbranded Assistant;Seychelles;expedite green FTP;Identity;Versatile;2021-07-12T11:16:10;2021-07-13T10:00:21;2021-07-12T22:20:52;2021-07-13T02:17:31;2021-07-13T00:06:12;Auto wireless sensor;90199;9463;withdrawal;54980;Adaptive Samoa JBOD;2021-07-13T02:21:56;Tasty Carolina;2021-07-12T20:06:24
10;Industrial open-source;bypass Gorgeous Practical;up Gloves Island;utilisation;overriding Salad;driver;2021-07-12T16:38:25;2021-07-13T03:38:09;2021-07-12T12:59:02;2021-07-12T17:36:41;2021-07-12T23:03:56;Sleek;27629;16392;New payment;47986;Peru solutions Global;2021-07-13T08:10:31;Boliviano web-readiness;2021-07-12T15:10:10
